Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,Price_Change_MoM,Price_Change_YoY
"National","National",2019,10,839,960,1191,1599,1864,.1,1.4
"Alabama","State",2019,10,620,675,820,1096,1275,.1,1.8
"Alaska","State",2019,10,811,927,1186,1676,2012,-.4,-.3
"Arizona","State",2019,10,732,865,1093,1580,1833,.3,3.5
"Arkansas","State",2019,10,529,576,728,987,1156,-.2,.9
"California","State",2019,10,1231,1448,1847,2558,2971,.3,1.1
"Colorado","State",2019,10,887,1044,1324,1908,2236,0,1.6
"Connecticut","State",2019,10,904,1082,1355,1721,1989,.2,1.2
"Delaware","State",2019,10,880,1014,1237,1633,1854,1.1,2.4
"District of Columbia","State",2019,10,1428,1501,1732,2281,2832,-.3,1.3
"Florida","State",2019,10,842,977,1219,1651,1982,.4,1.3
"Georgia","State",2019,10,835,884,1043,1384,1682,0,1.9
"Idaho","State",2019,10,575,654,847,1190,1446,.5,1.3
"Illinois","State",2019,10,789,910,1091,1405,1662,-.1,.8
"Indiana","State",2019,10,566,658,827,1088,1229,0,1.3
"Iowa","State",2019,10,520,602,770,1034,1157,.4,.5
"Kansas","State",2019,10,567,665,852,1155,1332,.2,1.1
"Kentucky","State",2019,10,541,607,772,1053,1212,-.4,.8
"Louisiana","State",2019,10,596,686,832,1077,1260,-.7,-.6
"Maine","State",2019,10,698,767,953,1254,1401,.3,.3
"Maryland","State",2019,10,1125,1262,1521,1983,2400,-.5,1.6
"Massachusetts","State",2019,10,1155,1322,1644,2064,2294,0,2.3
"Michigan","State",2019,10,609,721,923,1237,1361,.2,.8
"Minnesota","State",2019,10,707,858,1091,1515,1773,.1,1.6
"Mississippi","State",2019,10,580,659,804,1061,1200,-.4,.4
"Missouri","State",2019,10,574,662,846,1143,1311,.1,.7
"Montana","State",2019,10,560,625,793,1106,1321,.1,1.4
"Nebraska","State",2019,10,538,657,840,1130,1271,.2,1.4
"Nevada","State",2019,10,740,901,1131,1643,1976,.1,2.6
"New Hampshire","State",2019,10,926,1040,1327,1746,1953,.3,1.5
"New Jersey","State",2019,10,1097,1257,1542,1994,2302,0,.9
"New Mexico","State",2019,10,579,679,836,1166,1380,-.3,1.6
"New York","State",2019,10,1170,1292,1538,1977,2177,.5,1
"North Carolina","State",2019,10,710,770,926,1246,1503,.1,2.7
"North Dakota","State",2019,10,534,585,752,1058,1213,1.7,2.9
"Ohio","State",2019,10,573,663,852,1129,1264,.1,1.2
"Oklahoma","State",2019,10,531,599,769,1043,1214,0,.6
"Oregon","State",2019,10,883,992,1217,1765,2118,-.3,1.4
"Pennsylvania","State",2019,10,710,825,1021,1299,1430,.1,.7
"Rhode Island","State",2019,10,854,967,1170,1483,1777,.4,.6
"South Carolina","State",2019,10,682,777,932,1239,1494,.1,1.4
"South Dakota","State",2019,10,486,564,721,985,1118,-.4,-.2
"Tennessee","State",2019,10,624,706,871,1162,1368,.2,1.9
"Texas","State",2019,10,743,857,1066,1438,1773,.2,1.5
"Utah","State",2019,10,667,803,993,1425,1662,.4,1.9
"Vermont","State",2019,10,860,967,1221,1614,1774,-.4,-.1
"Virginia","State",2019,10,1009,1064,1256,1682,2059,-.1,1.6
"Washington","State",2019,10,1028,1179,1478,2128,2521,-.4,1.8
"West Virginia","State",2019,10,535,596,724,960,1089,-.8,-.8
"Wisconsin","State",2019,10,585,685,869,1152,1291,.3,1.4
"Wyoming","State",2019,10,551,617,792,1077,1275,.7,1.4
"Abilene, TX","City",2019,10,606,660,877,1097,1462,-.6,2.3
"Acworth, GA","City",2019,10,883,927,1070,1405,1727,.3,2.3
"Adelanto, CA","City",2019,10,866,1035,1295,1820,2242,-.5,1.8
"Aiken, SC","City",2019,10,650,715,861,1171,1517,-.5,3.2
"Albany, NY","City",2019,10,750,889,1095,1370,1509,.3,-.1
"Albany, OR","City",2019,10,658,783,1029,1499,1758,-.1,2.9
"Albuquerque, NM","City",2019,10,564,725,889,1294,1566,-.5,1.7
"Alexandria, VA","City",2019,10,1539,1616,1867,2463,3054,.1,2
"Allen Park, MI","City",2019,10,650,785,1022,1357,1472,,-3.5
"Allen, TX","City",2019,10,1060,1263,1570,2128,2710,-.2,2.3
"Alpharetta, GA","City",2019,10,1224,1284,1483,1947,2392,-.8,3.3
"Altamonte Springs, FL","City",2019,10,965,1054,1263,1680,2021,-1.5,.3
"Amarillo, TX","City",2019,10,533,641,840,1104,1324,.2,-.2
"Amelia, OH","City",2019,10,538,627,824,1150,1343,.3,-.7
"Ames, IA","City",2019,10,654,823,1000,1374,1652,-.6,-.2
"Anaheim, CA","City",2019,10,1415,1684,2164,2941,3242,.6,2
"Anchorage, AK","City",2019,10,730,842,1079,1571,1902,-.7,-.5
"Anderson, IN","City",2019,10,612,705,878,1174,1348,.4,.8
"Ann Arbor, MI","City",2019,10,1016,1082,1306,1793,2249,.2,.8
"Anniston, AL","City",2019,10,303,329,437,567,636,-.1,0
"Anoka, MN","City",2019,10,783,965,1218,1724,2016,-.4,1.8
"Apache Junction, AZ","City",2019,10,483,587,731,1064,1234,.7,2
"Apopka, FL","City",2019,10,875,956,1145,1524,1833,-.6,-.5
"Apple Valley, CA","City",2019,10,774,926,1158,1627,2004,.1,1.1
"Arlington, TX","City",2019,10,848,1010,1255,1702,2168,.1,2.1
"Arlington, VA","City",2019,10,1751,1839,2124,2801,3474,.2,2
"Arvada, CO","City",2019,10,1007,1230,1557,2263,2621,.5,1.6
"Ashland, OR","City",2019,10,664,699,930,1354,1552,.4,.5
"Athens, GA","City",2019,10,715,796,933,1267,1616,.6,4
"Atlanta, GA","City",2019,10,999,1047,1210,1588,1952,.1,1.8
"Auburn Hills, MI","City",2019,10,779,941,1225,1627,1765,.3,2.6
"Auburn, WA","City",2019,10,1212,1387,1727,2507,2982,.5,2.7
"Audubon, NJ","City",2019,10,730,867,1046,1309,1457,.7,-1.7
"Augusta, GA","City",2019,10,595,654,788,1072,1388,.4,2.3
"Aurora, CO","City",2019,10,1026,1253,1586,2305,2669,-.8,1.4
"Aurora, IL","City",2019,10,967,1122,1320,1688,2008,0,1.6
"Austell, GA","City",2019,10,920,965,1114,1463,1798,1.9,6.1
"Austin, TX","City",2019,10,983,1192,1471,1993,2398,.4,3.2
"Avondale, AZ","City",2019,10,839,1020,1270,1849,2145,1.1,3.7
"Bakersfield, CA","City",2019,10,702,732,950,1375,1655,.1,1.3
"Balch Springs, TX","City",2019,10,686,818,1016,1378,1755,-.1,2.6
"Ballwin, MO","City",2019,10,927,1051,1365,1807,2109,-.8,2.4
"Baltimore, MD","City",2019,10,776,942,1182,1520,1780,.2,.2
"Baton Rouge, LA","City",2019,10,635,776,899,1139,1428,-1,-1.8
"Battle Creek, MI","City",2019,10,557,693,865,1145,1254,-.1,.5
"Bay City, MI","City",2019,10,470,564,741,976,1022,-.5,.2
"Bay Shore, NY","City",2019,10,1339,1487,1771,2284,2544,1,.5
"Baytown, TX","City",2019,10,767,869,1063,1450,1843,-.3,.5
"Beaverton, OR","City",2019,10,1389,1546,1824,2655,3213,-.3,3.3
"Bedford, OH","City",2019,10,518,619,771,1014,1074,.1,0
"Belleville, IL","City",2019,10,653,741,962,1274,1486,.5,2.5
"Belleville, MI","City",2019,10,768,877,1116,1516,1704,1.1,2.2
"Bellevue, WA","City",2019,10,1697,1942,2419,3511,4176,0,2.9
"Bellflower, CA","City",2019,10,1144,1361,1749,2378,2622,-.4,.8
"Belmont, CA","City",2019,10,2292,2817,3539,4762,5662,.6,.9
"Belton, MO","City",2019,10,694,878,1076,1471,1665,-.7,-.7
"Bend, OR","City",2019,10,783,858,1003,1440,1767,1.9,2.8
"Benicia, CA","City",2019,10,1069,1333,1667,2427,2938,-.3,.4
"Bentonville, AR","City",2019,10,636,675,872,1251,1523,.4,1.7
"Bethany, OK","City",2019,10,615,681,872,1194,1458,-.5,-.8
"Biloxi, MS","City",2019,10,667,700,808,1134,1355,.3,2.8
"Binghamton, NY","City",2019,10,648,711,914,1236,1420,.2,-1.2
"Birmingham, AL","City",2019,10,733,825,955,1284,1440,.6,1.8
"Bismarck, ND","City",2019,10,578,591,780,1084,1366,-1.5,-2.1
"Bloomington, IL","City",2019,10,544,599,789,1068,1354,-.6,-.2
"Bloomington, IN","City",2019,10,692,745,948,1268,1603,.7,1.2
"Blue Springs, MO","City",2019,10,717,907,1112,1520,1720,.1,1.1
"Bluffton, SC","City",2019,10,1105,1183,1365,1788,2327,-.7,1.1
"Boca Raton, FL","City",2019,10,1220,1509,1914,2634,3173,1.5,4.5
"Boise, ID","City",2019,10,594,729,935,1354,1594,1,2
"Bolingbrook, IL","City",2019,10,1132,1314,1546,1977,2353,-.1,1.3
"Bossier City, LA","City",2019,10,645,787,917,1168,1299,-1.3,.3
"Boston, MA","City",2019,10,1516,1730,2145,2696,2971,.2,2.3
"Bowie, MD","City",2019,10,2038,2141,2473,3261,4044,.7,1.7
"Bowling Green, KY","City",2019,10,532,577,732,1003,1201,-1.1,-.1
"Bradenton, FL","City",2019,10,884,951,1221,1676,2037,.4,2.8
"Brandon, FL","City",2019,10,899,1026,1278,1689,2027,-.1,1.4
"Bridgeton, MO","City",2019,10,595,674,875,1159,1353,0,-.7
"Brighton, MI","City",2019,10,757,914,1190,1580,1714,0,2.3
"Bristol, CT","City",2019,10,692,856,1072,1351,1515,-.6,.7
"Broomfield, CO","City",2019,10,1165,1398,1754,2537,2945,-.2,1.4
"Brownsburg, IN","City",2019,10,659,765,948,1270,1448,.4,-.4
"Brownsville, TX","City",2019,10,530,538,696,919,1082,-.3,2
"Bryan, TX","City",2019,10,621,696,841,1225,1482,.2,.1
"Buckeye, AZ","City",2019,10,797,968,1206,1756,2037,.3,1.1
"Buffalo Grove, IL","City",2019,10,1169,1357,1596,2042,2430,-1.1,-.8
"Buffalo, NY","City",2019,10,720,728,886,1126,1300,-.3,1.1
"Burlington, MA","City",2019,10,1713,1954,2424,3046,3357,-.8,2.2
"Burlington, NC","City",2019,10,745,782,965,1309,1455,.6,3.6
"Burnsville, MN","City",2019,10,917,1130,1425,2018,2359,1.2,3.6
"Burton, MI","City",2019,10,536,636,845,1114,1207,-.5,-.5
"Caldwell, ID","City",2019,10,501,615,790,1143,1345,-1,.5
"California City, CA","City",2019,10,773,805,1046,1513,1822,-.6,1.8
"Calumet City, IL","City",2019,10,757,878,1033,1322,1573,-.1,1.3
"Camarillo, CA","City",2019,10,1540,1826,2427,3457,4131,.9,2.6
"Cambridge, MA","City",2019,10,1631,1861,2307,2899,3196,0,2.4
"Camden, NJ","City",2019,10,780,926,1118,1399,1557,-.8,-1.5
"Campbell, CA","City",2019,10,1643,1931,2420,3359,3872,-.3,.5
"Canton, GA","City",2019,10,963,1010,1167,1532,1882,1.6,1.7
"Cape Coral, FL","City",2019,10,850,917,1139,1478,1648,-.4,1.6
"Carbondale, IL","City",2019,10,540,604,782,1095,1228,-.2,1.1
"Carlsbad, CA","City",2019,10,1722,1907,2474,3562,4359,1.4,1.4
"Carol Stream, IL","City",2019,10,1009,1171,1377,1761,2096,.4,2.7
"Carrollton, GA","City",2019,10,691,724,837,1098,1350,.5,2.5
"Carrollton, TX","City",2019,10,935,1114,1385,1877,2391,-.3,1
"Carson City, NV","City",2019,10,625,764,974,1417,1716,1.7,1.5
"Cary, NC","City",2019,10,920,1131,1309,1715,2083,.9,4.8
"Casa Grande, AZ","City",2019,10,653,793,988,1438,1668,-.9,2.3
"Casselberry, FL","City",2019,10,986,1078,1291,1718,2066,.2,2.1
"Cassopolis, MI","City",2019,10,493,601,757,978,1043,.2,.5
"Castle Rock, CO","City",2019,10,1087,1328,1681,2443,2829,.5,1.2
"Catonsville, MD","City",2019,10,952,1156,1450,1865,2184,-.4,.4
"Cedar Falls, IA","City",2019,10,540,645,817,1083,1323,-1.5,-.2
"Cedar Hill, TX","City",2019,10,1019,1215,1509,2046,2606,.8,1.8
"Cedar Park, TX","City",2019,10,1128,1367,1687,2286,2751,-.4,3.1
"Cedar Rapids, IA","City",2019,10,568,667,881,1248,1386,-.3,-.7
"Centreville, VA","City",2019,10,1608,1688,1950,2573,3190,.6,3.9
"Chandler, AZ","City",2019,10,948,1151,1435,2088,2423,-.1,4.8
"Charlotte, NC","City",2019,10,893,989,1153,1555,1952,.2,2.9
"Charlottesville, VA","City",2019,10,812,1109,1280,1608,1897,.7,2
"Chattanooga, TN","City",2019,10,635,747,929,1225,1518,.2,2.4
"Chesapeake, VA","City",2019,10,992,997,1200,1675,2090,-1.7,.5
"Cheyenne, WY","City",2019,10,614,643,855,1196,1393,-.5,.7
"Chicago Heights, IL","City",2019,10,798,926,1089,1393,1658,-.1,.8
"Chicago, IL","City",2019,10,940,1091,1283,1641,1953,0,1.2
"Chico, CA","City",2019,10,789,876,1111,1617,1943,-.1,1.8
"Chino Hills, CA","City",2019,10,1354,1616,2047,2833,3321,.5,3.1
"Chino, CA","City",2019,10,1059,1263,1603,2212,2573,-1,.3
"Chula Vista, CA","City",2019,10,1485,1644,2133,3072,3759,-.7,.4
"Cincinnati, OH","City",2019,10,555,647,850,1188,1387,-.3,.8
"Citrus Heights, CA","City",2019,10,1007,1134,1438,2089,2534,.3,2.2
"Clarkston, GA","City",2019,10,861,903,1043,1369,1682,.6,2.3
"Clarksville, TN","City",2019,10,513,620,795,1089,1219,1.2,3.3
"Clearwater, FL","City",2019,10,858,980,1220,1613,1935,.7,2.7
"Clinton, MI","City",2019,10,705,751,906,1244,1561,-.1,3.3
"Clovis, CA","City",2019,10,970,1023,1283,1824,2128,-.2,1
"Cockeysville, MD","City",2019,10,944,1147,1439,1850,2167,-.4,2.6
"College Station, TX","City",2019,10,708,793,959,1396,1689,.8,-.4
"Colorado Springs, CO","City",2019,10,810,986,1272,1850,2241,.7,3.2
"Columbia, MD","City",2019,10,1296,1575,1975,2539,2974,-.4,2.7
"Columbia, MO","City",2019,10,511,570,721,1005,1230,.2,-.3
"Columbia, SC","City",2019,10,678,856,988,1307,1629,-.5,1.8
"Columbus, GA","City",2019,10,602,646,773,1077,1363,.3,1.7
"Columbus, IN","City",2019,10,663,790,952,1231,1361,.4,.2
"Columbus, OH","City",2019,10,636,752,969,1247,1451,.3,1.6
"Conroe, TX","City",2019,10,793,899,1100,1499,1905,-.1,2.3
"Copperas Cove, TX","City",2019,10,603,607,805,1141,1417,-.6,2
"Coralville, IA","City",2019,10,649,770,1012,1452,1771,-.6,-.5
"Coram, NY","City",2019,10,1948,2163,2577,3323,3701,.2,1.1
"Corona, CA","City",2019,10,1511,1808,2261,3178,3914,-.1,3.2
"Coronado, CA","City",2019,10,2667,2953,3831,5516,6751,.7,.9
"Corpus Christi, TX","City",2019,10,819,858,1072,1428,1640,.2,1.3
"Corvallis, OR","City",2019,10,687,829,1040,1514,1821,0,1.3
"Costa Mesa, CA","City",2019,10,1534,1825,2346,3188,3515,-.2,0
"Covington, GA","City",2019,10,904,948,1095,1438,1767,-.2,-.1
"Cranston, RI","City",2019,10,891,999,1214,1540,1811,-.6,.3
"Crystal Lake, IL","City",2019,10,1059,1229,1446,1849,2201,-.9,1.6
"Dallas, GA","City",2019,10,935,981,1133,1487,1827,.3,2.2
"Dallas, TX","City",2019,10,767,914,1136,1540,1962,.5,2.3
"Danbury, CT","City",2019,10,979,1197,1511,1911,2290,1.7,2.4
"Danvers, MA","City",2019,10,1572,1793,2224,2795,3080,0,2.3
"Daphne, AL","City",2019,10,1182,1241,1431,2083,2393,.5,2.4
"Davenport, IA","City",2019,10,508,620,792,1041,1139,.7,.7
"Davison, MI","City",2019,10,479,574,754,998,1083,1,3.4
"Dayton, OH","City",2019,10,587,655,855,1150,1357,.2,.5
"DeSoto, TX","City",2019,10,838,999,1241,1683,2143,.2,3.8
"Dearborn Heights, MI","City",2019,10,740,895,1164,1546,1677,-1.4,-4.8
"Dearborn, MI","City",2019,10,862,1042,1356,1801,1953,.2,.1
"Decatur, AL","City",2019,10,483,582,724,965,1012,.1,1.3
"Decatur, GA","City",2019,10,988,1036,1197,1571,1931,.3,1.3
"Deerfield Beach, FL","City",2019,10,974,1205,1528,2103,2533,.5,1.7
"Delray Beach, FL","City",2019,10,971,1201,1523,2096,2524,.4,2.3
"Deltona, FL","City",2019,10,732,882,1100,1483,1664,-1.4,-1.3
"Denton, TX","City",2019,10,724,862,1071,1453,1850,1,1.4
"Denver, CO","City",2019,10,875,1069,1354,1967,2278,-.6,.6
"Des Moines, IA","City",2019,10,555,656,808,1095,1192,.5,.2
"Des Plaines, IL","City",2019,10,840,975,1146,1466,1745,-.3,-.7
"Detroit, MI","City",2019,10,568,687,894,1187,1288,.1,.1
"Douglasville, GA","City",2019,10,1012,1061,1226,1610,1978,.4,2.2
"Downey, CA","City",2019,10,1321,1572,2020,2745,3027,-.8,.3
"Drexel Hill, PA","City",2019,10,765,908,1097,1372,1527,1.1,1.1
"Duarte, CA","City",2019,10,1238,1473,1893,2572,2836,.7,.7
"Duluth, GA","City",2019,10,1245,1305,1508,1979,2433,-.3,3.1
"Duluth, MN","City",2019,10,581,674,862,1120,1343,.1,-.1
"Duncanville, TX","City",2019,10,842,1003,1246,1690,2153,1.9,1.5
"Dundalk, MD","City",2019,10,758,921,1156,1486,1740,-.5,.9
